,Date,Open,High,Low,Close,Volume,High-Low,Open-Close
2533,11-06-2010,333.75,335.00,327.55,329.20,1408032,7.45,4.55
2534,10-06-2010,327.63,331.75,327.25,330.87,476216,4.50,-3.24
2535,09-06-2010,331.38,333.09,327.14,328.44,767064,5.95,2.94
2536,08-06-2010,332.33,336.23,331.19,331.88,1367896,5.04,0.45
2537,07-06-2010,335.63,336.25,331.64,334.04,500352,4.61,1.59
2538,04-06-2010,337.63,341.99,335.13,341.32,559768,6.86,-3.69
2539,03-06-2010,332.49,338.10,332.49,337.13,485808,5.61,-4.64
2540,02-06-2010,329.50,332.50,328.63,330.53,359384,3.87,-1.03
2541,01-06-2010,331.88,332.19,327.38,328.16,280152,4.81,3.72
2542,31-05-2010,333.75,335.47,328.80,332.21,400304,6.67,1.54
2543,28-05-2010,333.75,335.38,329.75,334.37,660528,5.63,-0.62
2544,27-05-2010,328.00,332.25,324.38,330.44,902600,7.87,-2.44
2545,26-05-2010,320.64,328.75,319.40,327.34,421144,9.35,-6.70
2546,25-05-2010,322.75,322.75,313.75,316.67,713472,9.00,6.08
2547,24-05-2010,328.75,328.75,323.05,324.60,712808,5.70,4.15
2548,21-05-2010,320.63,325.00,318.75,323.27,576152,6.25,-2.64
2549,20-05-2010,327.00,328.99,323.75,325.05,735152,5.24,1.95
2550,19-05-2010,328.13,331.24,324.38,325.39,526648,6.86,2.74
2551,18-05-2010,327.70,329.22,323.25,327.88,535744,5.97,-0.18
2552,17-05-2010,329.50,329.50,322.65,326.97,681584,6.85,2.53
2553,14-05-2010,336.25,340.85,328.91,332.11,579968,11.94,4.14
2554,13-05-2010,340.00,359.38,335.06,337.77,516144,24.32,2.23
2555,12-05-2010,326.88,337.11,326.88,335.17,557000,10.23,-8.29
2556,11-05-2010,333.50,333.85,330.00,332.90,1435320,3.85,0.60
2557,10-05-2010,328.75,338.47,328.75,334.39,380920,9.72,-5.64
2558,07-05-2010,328.88,330.75,326.14,327.46,629024,4.61,1.42
